                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.5251,                0.80814,                0.88152,                0.93851,                0.91578,                0.95083,                0.48869,                 1.5842,                0.70278,                0.91945,               0.002674,               0.002674,               0.002674
                     76,                 1.4779,                 0.8026,                0.87586,                0.96518,                0.91739,                0.94412,                0.49611,                 1.5849,                0.69658,                0.91476,               0.002575,               0.002575,               0.002575
                     77,                 1.5358,                0.82262,                0.87197,                0.96393,                0.91434,                0.95686,                0.48474,                 1.6454,                0.71925,                0.91895,               0.002476,               0.002476,               0.002476
                     78,                 1.5162,                0.84007,                0.87469,                0.94289,                0.89117,                0.94315,                0.48018,                 1.6238,                0.71495,                 0.9176,               0.002377,               0.002377,               0.002377
                     79,                 1.4899,                0.81191,                0.87303,                0.95384,                0.90332,                0.94545,                0.49365,                 1.5966,                0.71056,                0.91579,               0.002278,               0.002278,               0.002278
                     80,                 1.4767,                0.79677,                0.87582,                0.95942,                0.90056,                0.94429,                0.50933,                 1.5556,                 0.6925,                0.91093,               0.002179,               0.002179,               0.002179
                     81,                 1.4603,                0.78566,                0.87244,                0.94973,                0.92342,                 0.9436,                0.49782,                 1.5841,                0.69299,                0.91385,                0.00208,                0.00208,                0.00208
                     82,                 1.4829,                0.79768,                0.87568,                0.95899,                0.88682,                0.94598,                0.49459,                 1.6009,                0.70243,                0.91966,               0.001981,               0.001981,               0.001981
                     83,                 1.4453,                0.76868,                 0.8812,                0.93628,                0.88799,                0.94359,                0.50313,                 1.5764,                0.68937,                0.91405,               0.001882,               0.001882,               0.001882
                     84,                 1.4761,                 0.7784,                0.87151,                0.94173,                0.89366,                 0.9378,                0.49557,                 1.6017,                0.69668,                0.91817,               0.001783,               0.001783,               0.001783
                     85,                 1.4542,                0.77648,                0.87113,                0.91983,                0.90035,                0.93737,                0.48813,                 1.6093,                 0.7002,                0.91619,               0.001684,               0.001684,               0.001684
                     86,                  1.449,                0.77629,                 0.8667,                0.93736,                0.88927,                0.94474,                0.49295,                 1.6044,                0.69206,                0.91662,               0.001585,               0.001585,               0.001585
                     87,                 1.4445,                0.76305,                0.87076,                0.94991,                0.89125,                0.93989,                0.50518,                  1.571,                0.68258,                0.91029,               0.001486,               0.001486,               0.001486
                     88,                 1.4591,                0.78806,                  0.864,                 0.9509,                0.89878,                0.94398,                0.49978,                 1.5625,                0.69604,                0.91029,               0.001387,               0.001387,               0.001387
                     89,                 1.4381,                0.75081,                0.85795,                 0.9673,                0.88642,                0.93854,                 0.4887,                 1.6308,                0.68624,                0.92182,               0.001288,               0.001288,               0.001288
                     90,                 1.4389,                 0.7475,                0.88816,                0.96213,                0.90001,                0.93634,                0.49644,                 1.5721,                0.69399,                0.91001,               0.001189,               0.001189,               0.001189
                     91,                 1.4191,                0.73268,                0.88309,                0.95331,                0.89538,                0.93511,                0.48334,                 1.6015,                0.69979,                 0.9117,                0.00109,                0.00109,                0.00109
                     92,                 1.3589,                0.69324,                0.87203,                 0.9428,                0.88715,                0.92566,                0.48702,                 1.5865,                0.69559,                0.91084,               0.000991,               0.000991,               0.000991
                     93,                 1.3757,                0.70761,                0.87992,                0.93964,                0.88052,                 0.9232,                0.48731,                 1.5804,                0.69166,                0.91083,               0.000892,               0.000892,               0.000892
                     94,                 1.3456,                0.69275,                0.87259,                0.94759,                0.91089,                0.95204,                0.50424,                  1.551,                0.67582,                0.91018,               0.000793,               0.000793,               0.000793
                     95,                 1.3607,                0.69833,                0.87393,                 0.9382,                0.90828,                0.94157,                0.50932,                 1.5404,                0.67186,                0.90762,               0.000694,               0.000694,               0.000694
                     96,                  1.327,                0.67706,                0.87104,                0.94372,                0.91852,                 0.9508,                0.51041,                 1.5528,                0.67233,                0.91091,               0.000595,               0.000595,               0.000595
                     97,                 1.3228,                0.66968,                0.86257,                0.95226,                0.91218,                0.94789,                0.50951,                 1.5508,                0.66194,                0.90858,               0.000496,               0.000496,               0.000496
                     98,                 1.3231,                0.66757,                0.87225,                0.95136,                0.90993,                0.94804,                0.50842,                 1.5575,                0.65922,                0.91032,               0.000397,               0.000397,               0.000397
                     99,                 1.3173,                0.67897,                0.87285,                0.94832,                0.90407,                0.94603,                0.50885,                 1.5718,                0.67504,                0.91003,               0.000298,               0.000298,               0.000298
